Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,off-screen_poss,off-screen_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,off-screen_ppp,off-screen_percentile,off-screen_freq
Aaron Gordon,DEN,25,80,235,50,1384,39.0,39.0,3.7,2.4,18.0,15.0,28.0,27.0,147.0,156.0,42.0,37.0,39.0,37.0,316.7,1.0,0.32439678284182305,0.12314493211240922,0.6486486486486486,0.9014084507042254,0.011682980738869593,0.8333333333333334,0.7816091954022989,0.05683612251341964,0.9642857142857143,0.44744744744744747,0.08841174613198612,1.0612244897959184,0.41916859122401845,0.46416166719292706,0.8809523809523809,0.6258064516129033,0.13261761919797915,0.9487179487179487,0.5406779661016949,0.12314493211240922
Aaron Holiday,IND,24,72,185,66,1176,25.0,22.0,1.5,1.1,-100.0,-100.0,17.0,16.0,170.0,223.0,25.0,21.0,24.0,31.0,262.5,0.88,0.5549597855227882,0.09523809523809523,0.7333333333333334,0.7588028169014085,0.005714285714285714,-100.0,-100.0,-100.0,0.9411764705882353,0.5015015015015015,0.06476190476190476,1.311764705882353,0.046189376443418015,0.6476190476190476,0.84,0.6967741935483871,0.09523809523809523,1.2916666666666667,0.08813559322033898,0.09142857142857143
Aaron Nesmith,BOS,21,77,215,46,669,17.0,18.0,0.2,0.2,-100.0,-100.0,10.0,10.0,84.0,88.0,27.0,23.0,14.0,7.0,152.2,1.0588235294117647,0.23458445040214476,0.11169513797634692,1.0,0.198943661971831,0.0013140604467805521,-100.0,-100.0,-100.0,1.0,0.37537537537537535,0.0657030223390276,1.0476190476190477,0.4561200923787529,0.5519053876478318,0.8518518518518519,0.6806451612903226,0.17739816031537453,0.5,0.9593220338983051,0.09198423127463864
Abdel Nader,PHX,27,77,225,24,355,14.0,14.0,0.5,0.3,-100.0,-100.0,-100.0,-100.0,34.0,35.0,13.0,7.0,-100.0,-100.0,61.5,1.0,0.32439678284182305,0.22764227642276422,0.6,0.9348591549295775,0.008130081300813009,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0294117647058822,0.5150115473441108,0.5528455284552846,0.5384615384615384,0.9532258064516129,0.21138211382113822,-100.0,-100.0,-100.0
Adam Mokoka,CHI,22,76,190,14,56,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al Horford,BOS,35,81,240,28,782,15.0,18.0,-100.0,-100.0,25.0,28.0,26.0,33.0,61.0,61.0,-100.0,-100.0,10.0,15.0,137.0,1.2,0.08176943699731903,0.10948905109489052,-100.0,-100.0,-100.0,1.12,0.38697318007662834,0.18248175182481752,1.2692307692307692,0.07507507507507508,0.1897810218978102,1.0,0.605080831408776,0.44525547445255476,-100.0,-100.0,-100.0,1.5,0.025423728813559324,0.072992700729927
Al-Farouq Aminu,CHI,30,80,220,23,434,11.0,6.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,47.0,62.0,-100.0,-100.0,10.0,6.0,68.0,0.5454545454545454,0.9517426273458445,0.16176470588235295,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.3191489361702127,0.03233256351039261,0.6911764705882353,-100.0,-100.0,-100.0,0.6,0.9338983050847458,0.14705882352941177
Alec Burks,NYK,29,78,214,49,1255,33.0,29.0,4.3,4.1,12.0,14.0,10.0,10.0,136.0,128.0,35.0,19.0,30.0,27.0,260.3,0.8787878787878788,0.5603217158176944,0.12677679600461006,0.9534883720930232,0.3274647887323944,0.016519400691509794,1.1666666666666667,0.32567049808429116,0.04610065309258548,1.0,0.37537537537537535,0.038417210910487894,0.9411764705882353,0.7424942263279446,0.5224740683826354,0.5428571428571428,0.9483870967741935,0.13446023818670763,0.9,0.6389830508474577,0.11525163273146369
Aleksej Pokusevski,OKC,19,84,190,45,1090,40.0,33.0,2.8,1.6,26.0,25.0,-100.0,-100.0,154.0,180.0,24.0,27.0,29.0,31.0,275.8,0.825,0.6394101876675603,0.145032632342277,0.5714285714285715,0.9419014084507042,0.01015228426395939,0.9615384615384616,0.5747126436781609,0.09427121102248005,-100.0,-100.0,-100.0,1.1688311688311688,0.18013856812933027,0.5583756345177665,1.125,0.1870967741935484,0.0870195794053662,1.0689655172413792,0.376271186440678,0.10514865844815083
Alen Smailagic,GSW,20,82,215,15,84,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alex Caruso,LAL,27,76,186,58,1216,40.0,35.0,1.6,1.1,22.0,25.0,19.0,15.0,128.0,135.0,30.0,27.0,27.0,24.0,267.6,0.875,0.564343163538874,0.14947683109118085,0.6875,0.8415492957746479,0.005979073243647235,1.1363636363636365,0.36398467432950193,0.08221225710014947,0.7894736842105263,0.7882882882882883,0.0710014947683109,1.0546875,0.43187066974595845,0.47832585949177875,0.9,0.6016129032258064,0.11210762331838564,0.8888888888888888,0.6627118644067796,0.10089686098654707
Alex Len,WAS,28,84,250,64,979,28.0,38.0,-100.0,-100.0,21.0,19.0,29.0,23.0,59.0,63.0,-100.0,-100.0,-100.0,-100.0,137.0,1.3571428571428572,0.01876675603217158,0.20437956204379562,-100.0,-100.0,-100.0,0.9047619047619048,0.6743295019157088,0.15328467153284672,0.7931034482758621,0.7792792792792793,0.2116788321167883,1.0677966101694916,0.4018475750577367,0.4306569343065693,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alfonzo McKinnie,LAL,28,79,215,39,258,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alize Johnson,BKN,25,79,212,18,189,15.0,18.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,20.0,25.0,-100.0,-100.0,-100.0,-100.0,35.0,1.2,0.08176943699731903,0.42857142857142855,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.25,0.08314087759815242,0.5714285714285714,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Amida Brimah,IND,27,82,230,5,29,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Amir Coffey,LAC,24,79,210,44,395,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Anderson Varejao,CLE,38,83,260,5,36,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Andre Drummond,LAL,27,82,279,46,1242,34.0,32.0,-100.0,-100.0,27.0,30.0,21.0,18.0,112.0,126.0,-100.0,-100.0,-100.0,-100.0,194.0,0.9411764705882353,0.44235924932975873,0.17525773195876287,-100.0,-100.0,-100.0,1.1111111111111112,0.39846743295019155,0.13917525773195877,0.8571428571428571,0.6696696696696697,0.10824742268041238,1.125,0.2806004618937644,0.5773195876288659,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Andre Iguodala,MIA,37,78,215,63,1339,32.0,30.0,0.3,0.2,13.0,11.0,29.0,23.0,213.0,204.0,20.0,27.0,25.0,27.0,332.3,0.9375,0.4450402144772118,0.09629852542882937,0.6666666666666667,0.8679577464788732,0.0009027986758952753,0.8461538461538461,0.7662835249042146,0.03912127595546193,0.7931034482758621,0.7792792792792793,0.08727053866987662,0.9577464788732394,0.6974595842956121,0.6409870598856455,1.35,0.04032258064516129,0.06018657839301835,1.08,0.3559322033898305,0.07523322299127294
Andre Roberson,BKN,29,79,210,5,63,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
