Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,transition_poss,transition_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,cut_poss,cut_pts,off-screen_poss,off-screen_pts,putbacks_poss,putbacks_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,transition_ppp,transition_percentile,transition_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,cut_ppp,cut_percentile,cut_freq,off-screen_ppp,off-screen_percentile,off-screen_freq,putbacks_ppp,putbacks_percentile,putbacks_freq
Aaron Gordon,DEN,25,80,235,50,1384,26.0,17.0,104.0,103.0,3.7,2.4,17.0,16.0,80.0,69.0,115.0,117.0,45.0,47.0,65.0,83.0,-100.0,-100.0,47.0,53.0,502.7,0.6538461538461539,0.22270742358078602,0.05172070817585041,0.9903846153846154,0.25060827250608275,0.20688283270340163,0.6486486486486486,0.10211267605633803,0.007360254625024866,0.9411764705882353,0.2300469483568075,0.033817386114979114,0.8625,0.3013698630136986,0.15914064054107818,1.017391304347826,0.5381861575178998,0.22876467077779988,1.0444444444444445,0.6929133858267716,0.08951661030435648,1.2769230769230768,0.4920886075949367,0.129301770439626,-100.0,-100.0,-100.0,1.127659574468085,0.550561797752809,0.09349512631788343
Aaron Holiday,IND,24,72,185,66,1176,25.0,5.0,117.0,118.0,1.5,1.1,-100.0,-100.0,-100.0,-100.0,187.0,190.0,44.0,33.0,13.0,9.0,21.0,19.0,-100.0,-100.0,408.5,0.2,0.010917030567685589,0.06119951040391677,1.0085470085470085,0.2846715328467153,0.2864137086903305,0.7333333333333334,0.24471830985915494,0.0036719706242350062,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0160427807486632,0.5346062052505967,0.45777233782129745,0.75,0.20669291338582677,0.10771113831089352,0.6923076923076923,0.01740506329113924,0.03182374541003672,0.9047619047619048,0.3826530612244898,0.051407588739290085,-100.0,-100.0,-100.0
Aaron Nesmith,BOS,21,77,215,46,669,-100.0,-100.0,41.0,32.0,0.2,0.2,-100.0,-100.0,-100.0,-100.0,96.0,104.0,-100.0,-100.0,-100.0,-100.0,17.0,25.0,15.0,18.0,169.2,-100.0,-100.0,-100.0,0.7804878048780488,0.06569343065693431,0.24231678486997638,1.0,0.8045774647887324,0.0011820330969267141,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0833333333333333,0.6646778042959427,0.5673758865248227,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.4705882352941178,0.9540816326530612,0.10047281323877069,1.2,0.6722846441947565,0.08865248226950355
Abdel Nader,PHX,27,77,225,24,355,-100.0,-100.0,31.0,33.0,0.5,0.3,-100.0,-100.0,-100.0,-100.0,71.0,72.0,11.0,9.0,11.0,14.0,-100.0,-100.0,-100.0,-100.0,124.5,-100.0,-100.0,-100.0,1.064516129032258,0.35279805352798055,0.24899598393574296,0.6,0.06866197183098592,0.004016064257028112,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0140845070422535,0.5298329355608592,0.570281124497992,0.8181818181818182,0.2854330708661417,0.08835341365461848,1.2727272727272727,0.4699367088607595,0.08835341365461848,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Adam Mokoka,CHI,22,76,190,14,56,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al Horford,BOS,35,81,240,28,782,25.0,22.0,42.0,41.0,-100.0,-100.0,110.0,106.0,80.0,77.0,93.0,107.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,15.0,20.0,365.0,0.88,0.5458515283842795,0.0684931506849315,0.9761904761904762,0.2360097323600973,0.11506849315068493,-100.0,-100.0,-100.0,0.9636363636363636,0.2535211267605634,0.3013698630136986,0.9625,0.547945205479452,0.2191780821917808,1.1505376344086022,0.801909307875895,0.2547945205479452,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.3333333333333333,0.8689138576779026,0.0410958904109589
Al-Farouq Aminu,CHI,30,80,220,23,434,-100.0,-100.0,26.0,22.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,39.0,24.0,-100.0,-100.0,12.0,8.0,-100.0,-100.0,13.0,16.0,90.0,-100.0,-100.0,-100.0,0.8461538461538461,0.10340632603406326,0.28888888888888886,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.6153846153846154,0.060859188544152745,0.43333333333333335,-100.0,-100.0,-100.0,0.6666666666666666,0.012658227848101266,0.13333333333333333,-100.0,-100.0,-100.0,1.2307692307692308,0.7134831460674157,0.14444444444444443
Alec Burks,NYK,29,78,214,49,1255,32.0,42.0,53.0,44.0,4.3,4.1,-100.0,-100.0,-100.0,-100.0,182.0,198.0,57.0,71.0,12.0,18.0,19.0,11.0,-100.0,-100.0,359.3,1.3125,0.9912663755458515,0.08906206512663511,0.8301886792452831,0.09367396593673966,0.1475090453659894,0.9534883720930232,0.676056338028169,0.011967715001391594,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0879120879120878,0.6801909307875895,0.5065404954077373,1.2456140350877194,0.8976377952755905,0.1586418035068188,1.5,0.8718354430379747,0.03339827442248817,0.5789473684210527,0.05102040816326531,0.052880601168939605,-100.0,-100.0,-100.0
Aleksej Pokusevski,OKC,19,84,190,45,1090,28.0,17.0,71.0,59.0,2.8,1.6,13.0,8.0,-100.0,-100.0,180.0,135.0,38.0,23.0,-100.0,-100.0,19.0,22.0,23.0,15.0,374.8,0.6071428571428571,0.18340611353711792,0.07470651013874066,0.8309859154929577,0.09732360097323602,0.18943436499466382,0.5714285714285715,0.061619718309859156,0.007470651013874065,0.6153846153846154,0.0539906103286385,0.03468516542155816,-100.0,-100.0,-100.0,0.75,0.12291169451073986,0.48025613660618993,0.6052631578947368,0.11023622047244094,0.10138740661686232,-100.0,-100.0,-100.0,1.1578947368421053,0.7755102040816326,0.05069370330843116,0.6521739130434783,0.013108614232209739,0.06136606189967983
Alen Smailagic,GSW,20,82,215,15,84,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
