Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,transition_poss,transition_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,cut_poss,cut_pts,off-screen_poss,off-screen_pts,putbacks_poss,putbacks_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,transition_ppp,transition_percentile,transition_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,cut_ppp,cut_percentile,cut_freq,off-screen_ppp,off-screen_percentile,off-screen_freq,putbacks_ppp,putbacks_percentile,putbacks_freq
Aaron Gordon,ORL,23,81,220,78,2633,79.0,62.0,184.0,192.0,3.7,2.4,34.0,31.0,173.0,145.0,267.0,268.0,90.0,91.0,90.0,124.0,90.0,79.0,92.0,107.0,1102.7,0.7848101265822784,0.3694029850746269,0.0716423324566972,1.0434782608695652,0.34068627450980393,0.16686315407635802,0.6486486486486486,0.09047619047619047,0.0033554003808832864,0.9117647058823529,0.22872340425531915,0.030833408905413983,0.838150289017341,0.2937853107344633,0.1568876394304888,1.00374531835206,0.5467980295566502,0.2421329464042804,1.011111111111111,0.7261904761904762,0.08161784710256642,1.3777777777777778,0.7053571428571429,0.08161784710256642,0.8777777777777778,0.3404761904761905,0.08161784710256642,1.1630434782608696,0.6804123711340206,0.08343157703817901
Aaron Holiday,IND,22,73,185,50,646,13.0,11.0,61.0,63.0,1.5,1.1,-100.0,-100.0,-100.0,-100.0,77.0,81.0,36.0,29.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,188.5,0.8461538461538461,0.5130597014925373,0.06896551724137931,1.0327868852459017,0.31985294117647056,0.32360742705570295,0.7333333333333334,0.23809523809523808,0.007957559681697613,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.051948051948052,0.6785714285714286,0.40848806366047746,0.8055555555555556,0.2976190476190476,0.1909814323607427,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Abdel Nader,OKC,25,78,225,61,694,12.0,16.0,58.0,63.0,0.5,0.3,-100.0,-100.0,-100.0,-100.0,121.0,106.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,191.5,1.3333333333333333,0.9850746268656716,0.06266318537859007,1.0862068965517242,0.4215686274509804,0.3028720626631854,0.6,0.05476190476190476,0.0026109660574412533,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.8760330578512396,0.24876847290640394,0.6318537859007833,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al Horford,BOS,33,82,245,68,1973,24.0,29.0,73.0,73.0,-100.0,-100.0,273.0,315.0,142.0,141.0,152.0,165.0,-100.0,-100.0,78.0,106.0,16.0,15.0,48.0,54.0,806.0,1.2083333333333333,0.9701492537313433,0.02977667493796526,1.0,0.2610294117647059,0.09057071960297766,-100.0,-100.0,-100.0,1.1538461538461537,0.6276595744680851,0.3387096774193548,0.9929577464788732,0.6497175141242938,0.1761786600496278,1.0855263157894737,0.770935960591133,0.18858560794044665,-100.0,-100.0,-100.0,1.358974358974359,0.6755952380952381,0.0967741935483871,0.9375,0.45476190476190476,0.019851116625310174,1.125,0.6134020618556701,0.05955334987593052
Al-Farouq Aminu,POR,28,81,220,81,2292,25.0,26.0,114.0,135.0,-100.0,-100.0,26.0,35.0,-100.0,-100.0,348.0,329.0,11.0,9.0,76.0,90.0,19.0,11.0,59.0,73.0,678.0,1.04,0.8432835820895522,0.03687315634218289,1.1842105263157894,0.6727941176470589,0.168141592920354,-100.0,-100.0,-100.0,1.3461538461538463,0.925531914893617,0.038348082595870206,-100.0,-100.0,-100.0,0.9454022988505747,0.3817733990147783,0.5132743362831859,0.8181818181818182,0.3194444444444444,0.016224188790560472,1.1842105263157894,0.3005952380952381,0.11209439528023599,0.5789473684210527,0.05238095238095238,0.028023598820058997,1.2372881355932204,0.8247422680412371,0.08702064896755163
Alan Williams,BKN,26,80,265,5,26,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alec Burks,SAC,27,78,214,64,1375,49.0,41.0,75.0,64.0,4.3,4.1,-100.0,-100.0,11.0,10.0,114.0,134.0,47.0,50.0,22.0,29.0,27.0,29.0,19.0,18.0,368.3,0.8367346938775511,0.5,0.1330437143632908,0.8533333333333334,0.09313725490196079,0.20363833831115938,0.9534883720930232,0.6571428571428571,0.011675264729839804,-100.0,-100.0,-100.0,0.9090909090909091,0.4661016949152542,0.02986695628563671,1.1754385964912282,0.9014778325123153,0.30953027423296225,1.0638297872340425,0.8333333333333334,0.1276133586749932,1.3181818181818181,0.5863095238095238,0.05973391257127342,1.0740740740740742,0.7785714285714286,0.07330980179201738,0.9473684210526315,0.3075601374570447,0.05158837903882704
Alex Abrines,OKC,25,78,200,31,588,-100.0,-100.0,31.0,23.0,-100.0,-100.0,10.0,6.0,-100.0,-100.0,75.0,80.0,15.0,20.0,-100.0,-100.0,20.0,17.0,-100.0,-100.0,151.0,-100.0,-100.0,-100.0,0.7419354838709677,0.03676470588235294,0.2052980132450331,-100.0,-100.0,-100.0,0.6,0.0425531914893617,0.06622516556291391,-100.0,-100.0,-100.0,1.0666666666666667,0.7302955665024631,0.4966887417218543,1.3333333333333333,0.9781746031746031,0.09933774834437085,-100.0,-100.0,-100.0,0.85,0.2785714285714286,0.13245033112582782,-100.0,-100.0,-100.0
Alex Caruso,LAL,25,77,186,25,531,13.0,15.0,36.0,41.0,1.6,1.1,-100.0,-100.0,-100.0,-100.0,36.0,36.0,10.0,11.0,16.0,21.0,-100.0,-100.0,-100.0,-100.0,112.6,1.1538461538461537,0.9477611940298507,0.11545293072824157,1.1388888888888888,0.5514705882352942,0.3197158081705151,0.6875,0.16666666666666666,0.014209591474245118,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,0.5258620689655172,0.3197158081705151,1.1,0.871031746031746,0.08880994671403197,1.3125,0.5550595238095238,0.14209591474245117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alex Len,ATL,26,85,250,77,1544,12.0,6.0,71.0,88.0,-100.0,-100.0,162.0,177.0,90.0,99.0,175.0,185.0,-100.0,-100.0,117.0,132.0,-100.0,-100.0,120.0,109.0,747.0,0.5,0.05037313432835821,0.01606425702811245,1.2394366197183098,0.7622549019607843,0.09504685408299866,-100.0,-100.0,-100.0,1.0925925925925926,0.5372340425531915,0.21686746987951808,1.1,0.8757062146892656,0.12048192771084337,1.0571428571428572,0.7044334975369458,0.23427041499330656,-100.0,-100.0,-100.0,1.1282051282051282,0.20833333333333334,0.1566265060240964,-100.0,-100.0,-100.0,0.9083333333333333,0.24398625429553264,0.1606425702811245
Alex Poythress,ATL,25,81,235,21,305,-100.0,-100.0,17.0,23.0,-100.0,-100.0,19.0,25.0,-100.0,-100.0,31.0,27.0,-100.0,-100.0,11.0,14.0,-100.0,-100.0,17.0,17.0,95.0,-100.0,-100.0,-100.0,1.3529411764705883,0.9007352941176471,0.17894736842105263,-100.0,-100.0,-100.0,1.3157894736842106,0.8776595744680851,0.2,-100.0,-100.0,-100.0,0.8709677419354839,0.23891625615763548,0.3263157894736842,-100.0,-100.0,-100.0,1.2727272727272727,0.47470238095238093,0.11578947368421053,-100.0,-100.0,-100.0,1.0,0.3951890034364261,0.17894736842105263
Alfonzo McKinnie,GSW,26,80,215,72,1003,-100.0,-100.0,57.0,67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,125.0,131.0,10.0,2.0,51.0,68.0,-100.0,-100.0,44.0,43.0,287.0,-100.0,-100.0,-100.0,1.1754385964912282,0.6544117647058824,0.1986062717770035,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.048,0.6625615763546798,0.4355400696864111,0.2,0.007936507936507936,0.03484320557491289,1.3333333333333333,0.6160714285714286,0.17770034843205576,-100.0,-100.0,-100.0,0.9772727272727273,0.35051546391752575,0.15331010452961671
