Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,off-screen_poss,off-screen_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,off-screen_ppp,off-screen_percentile,off-screen_freq
Sindarius Thornwell,LAC,24,77,215,64,313,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Skal Labissiere,POR,23,83,235,22,176,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Solomon Hill,NOP,28,79,225,44,879,30.0,24.0,0.2,0.2,-100.0,-100.0,20.0,20.0,105.0,83.0,20.0,22.0,36.0,27.0,211.2,0.8,0.6952506596306068,0.14204545454545456,1.0,0.20476190476190476,0.0009469696969696971,-100.0,-100.0,-100.0,1.0,0.3607242339832869,0.0946969696969697,0.7904761904761904,0.9407582938388626,0.49715909090909094,1.1,0.20096463022508038,0.0946969696969697,0.75,0.8343653250773994,0.17045454545454547
Spencer Dinwiddie,BKN,26,78,210,68,1914,37.0,32.0,-100.0,-100.0,10.0,13.0,53.0,54.0,102.0,102.0,59.0,54.0,34.0,30.0,295.0,0.8648648648648649,0.5369393139841688,0.12542372881355932,-100.0,-100.0,-100.0,1.3,0.12790697674418605,0.03389830508474576,1.0188679245283019,0.31754874651810583,0.17966101694915254,1.0,0.5639810426540285,0.34576271186440677,0.9152542372881356,0.5144694533762058,0.2,0.8823529411764706,0.6191950464396285,0.1152542372881356
Stanley Johnson,NOP,23,79,245,66,1207,19.0,16.0,0.4,0.3,10.0,6.0,16.0,15.0,92.0,95.0,23.0,17.0,23.0,9.0,183.4,0.8421052631578947,0.5897097625329816,0.10359869138495092,0.7499999999999999,0.7261904761904762,0.0021810250817884407,0.6,0.9341085271317829,0.05452562704471101,0.9375,0.5111420612813371,0.08724100327153762,1.0326086956521738,0.4549763033175355,0.5016357688113413,0.7391304347826086,0.8102893890675241,0.12540894220283533,0.391304347826087,1.0,0.12540894220283533
Stephen Curry,GSW,31,75,190,69,2331,69.0,58.0,7.6,8.6,17.0,14.0,43.0,40.0,211.0,196.0,81.0,71.0,39.0,36.0,467.6,0.8405797101449275,0.5963060686015831,0.14756201881950384,1.131578947368421,0.04285714285714286,0.016253207869974334,0.8235294117647058,0.7558139534883721,0.03635585970915312,0.9302325581395349,0.5431754874651811,0.09195893926432848,0.9289099526066351,0.7464454976303317,0.45124037639007697,0.8765432098765432,0.5659163987138264,0.17322497861420016,0.9230769230769231,0.5185758513931888,0.08340461933276304
Sterling Brown,MIL,24,78,232,58,1034,22.0,23.0,0.8,0.7,-100.0,-100.0,-100.0,-100.0,119.0,143.0,25.0,28.0,25.0,28.0,191.8,1.0454545454545454,0.19261213720316622,0.11470281543274244,0.8749999999999999,0.49047619047619045,0.004171011470281543,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.2016806722689075,0.08767772511848342,0.6204379562043795,1.12,0.1864951768488746,0.1303441084462982,1.12,0.20278637770897834,0.1303441084462982
Steven Adams,OKC,25,84,265,80,2669,157.0,107.0,-100.0,-100.0,106.0,106.0,84.0,71.0,192.0,187.0,11.0,15.0,16.0,14.0,566.0,0.6815286624203821,0.8865435356200527,0.2773851590106007,-100.0,-100.0,-100.0,1.0,0.47674418604651164,0.1872791519434629,0.8452380952380952,0.6935933147632312,0.14840989399293286,0.9739583333333334,0.6279620853080569,0.3392226148409894,1.3636363636363635,0.028938906752411574,0.019434628975265017,0.875,0.628482972136223,0.028268551236749116
Svi Mykhailiuk,DET,22,80,205,42,440,14.0,10.0,3.4000000000000004,2.2,-100.0,-100.0,-100.0,-100.0,52.0,54.0,16.0,7.0,10.0,7.0,95.4,0.7142857142857143,0.8390501319261213,0.14675052410901468,0.6470588235294118,0.919047619047619,0.03563941299790357,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0384615384615385,0.43364928909952605,0.5450733752620545,0.4375,0.9903536977491961,0.16771488469601675,0.7,0.8761609907120743,0.10482180293501048
T.J. Leaf,IND,22,82,225,58,522,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
