Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,transition_poss,transition_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,cut_poss,cut_pts,off-screen_poss,off-screen_pts,putbacks_poss,putbacks_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,transition_ppp,transition_percentile,transition_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,cut_ppp,cut_percentile,cut_freq,off-screen_ppp,off-screen_percentile,off-screen_freq,putbacks_ppp,putbacks_percentile,putbacks_freq
Aaron Gordon,ORL,24,80,235,62,2017,53.0,40.0,160.0,180.0,3.7,2.4,25.0,31.0,142.0,134.0,153.0,138.0,56.0,34.0,81.0,125.0,32.0,15.0,77.0,79.0,782.7,0.7547169811320755,0.25213675213675213,0.06771432221796346,1.125,0.5190355329949239,0.20442059537498403,0.6486486486486486,0.09016393442622951,0.004727226268046505,1.24,0.751219512195122,0.031940718027341254,0.9436619718309859,0.5704697986577181,0.18142327839529832,0.9019607843137255,0.34068627450980393,0.19547719432732846,0.6071428571428571,0.13765182186234817,0.07154720838124441,1.5432098765432098,0.9226006191950464,0.10348792640858566,0.46875,0.04205607476635514,0.040884119074996804,1.025974025974026,0.37992831541218636,0.09837741152421106
Aaron Holiday,IND,23,72,185,66,1617,53.0,52.0,122.0,100.0,1.5,1.1,-100.0,-100.0,-100.0,-100.0,168.0,202.0,48.0,43.0,-100.0,-100.0,15.0,15.0,-100.0,-100.0,407.5,0.9811320754716981,0.7350427350427351,0.13006134969325153,0.819672131147541,0.06598984771573604,0.29938650306748466,0.7333333333333334,0.22950819672131148,0.0036809815950920245,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.2023809523809523,0.8897058823529411,0.41226993865030676,0.8958333333333334,0.48785425101214575,0.11779141104294479,-100.0,-100.0,-100.0,1.0,0.6308411214953271,0.03680981595092025,-100.0,-100.0,-100.0
Abdel Nader,OKC,26,77,225,55,867,-100.0,-100.0,61.0,76.0,0.5,0.3,-100.0,-100.0,-100.0,-100.0,137.0,136.0,23.0,17.0,13.0,21.0,31.0,37.0,-100.0,-100.0,265.5,-100.0,-100.0,-100.0,1.2459016393442623,0.7842639593908629,0.2297551789077213,0.6,0.05942622950819672,0.0018832391713747645,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.9927007299270073,0.5196078431372549,0.5160075329566854,0.7391304347826086,0.242914979757085,0.08662900188323917,1.6153846153846154,0.9504643962848297,0.04896421845574388,1.1935483870967742,0.9018691588785047,0.1167608286252354,-100.0,-100.0,-100.0
Adam Mokoka,CHI,21,77,190,11,112,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13.0,10.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.7692307692307693,0.16299019607843138,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Admiral Schofield,WAS,23,77,241,33,368,-100.0,-100.0,17.0,25.0,-100.0,-100.0,13.0,15.0,-100.0,-100.0,45.0,33.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,75.0,-100.0,-100.0,-100.0,1.4705882352941178,0.9568527918781726,0.22666666666666666,-100.0,-100.0,-100.0,1.1538461538461537,0.6121951219512195,0.17333333333333334,-100.0,-100.0,-100.0,0.7333333333333333,0.1323529411764706,0.6,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al Horford,PHI,34,81,240,67,2026,25.0,16.0,120.0,144.0,-100.0,-100.0,146.0,152.0,195.0,173.0,167.0,152.0,-100.0,-100.0,44.0,58.0,17.0,15.0,45.0,49.0,759.0,0.64,0.1346153846153846,0.03293807641633729,1.2,0.6967005076142132,0.15810276679841898,-100.0,-100.0,-100.0,1.0410958904109588,0.4146341463414634,0.19235836627140976,0.8871794871794871,0.4161073825503356,0.25691699604743085,0.9101796407185628,0.3553921568627451,0.22002635046113306,-100.0,-100.0,-100.0,1.3181818181818181,0.56656346749226,0.057971014492753624,0.8823529411764706,0.3855140186915888,0.022397891963109356,1.0888888888888888,0.5017921146953405,0.05928853754940711
Al-Farouq Aminu,ORL,29,80,220,18,380,-100.0,-100.0,21.0,12.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,43.0,21.0,-100.0,-100.0,14.0,15.0,-100.0,-100.0,14.0,11.0,92.0,-100.0,-100.0,-100.0,0.5714285714285714,0.012690355329949238,0.22826086956521738,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.4883720930232558,0.031862745098039214,0.4673913043478261,-100.0,-100.0,-100.0,1.0714285714285714,0.15789473684210525,0.15217391304347827,-100.0,-100.0,-100.0,0.7857142857142857,0.1039426523297491,0.15217391304347827
Alec Burks,PHI,28,78,214,66,1754,76.0,80.0,118.0,128.0,4.3,4.1,-100.0,-100.0,30.0,28.0,138.0,144.0,96.0,115.0,28.0,37.0,56.0,53.0,14.0,16.0,560.3,1.0526315789473684,0.8461538461538461,0.13564162056041407,1.0847457627118644,0.42385786802030456,0.21060146350169553,0.9534883720930232,0.6721311475409836,0.007674460110655006,-100.0,-100.0,-100.0,0.9333333333333333,0.5369127516778524,0.053542744958058185,1.0434782608695652,0.6409313725490197,0.24629662680706765,1.1979166666666667,0.902834008097166,0.1713367838657862,1.3214285714285714,0.5773993808049536,0.049973228627520974,0.9464285714285714,0.5280373831775701,0.09994645725504195,1.1428571428571428,0.6057347670250897,0.024986614313760487
Alen Smailagic,GSW,19,82,215,14,139,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10.0,14.0,12.0,15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,22.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.4,1.0,0.45454545454545453,1.25,0.9325980392156863,0.5454545454545454,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alex Caruso,LAL,26,77,186,64,1175,11.0,9.0,74.0,91.0,1.6,1.1,13.0,11.0,-100.0,-100.0,108.0,100.0,22.0,15.0,26.0,34.0,-100.0,-100.0,-100.0,-100.0,255.6,0.8181818181818182,0.4188034188034188,0.043035993740219096,1.2297297297297298,0.748730964467005,0.2895148669796557,0.6875,0.1557377049180328,0.006259780907668232,0.8461538461538461,0.15853658536585366,0.05086071987480438,-100.0,-100.0,-100.0,0.9259259259259259,0.38235294117647056,0.4225352112676056,0.6818181818181818,0.18218623481781376,0.08607198748043819,1.3076923076923077,0.5510835913312694,0.10172143974960876,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alex Len,SAC,27,84,250,55,971,-100.0,-100.0,20.0,27.0,-100.0,-100.0,114.0,119.0,32.0,24.0,50.0,46.0,-100.0,-100.0,94.0,117.0,-100.0,-100.0,66.0,78.0,376.0,-100.0,-100.0,-100.0,1.35,0.8807106598984772,0.05319148936170213,-100.0,-100.0,-100.0,1.043859649122807,0.4195121951219512,0.30319148936170215,0.75,0.174496644295302,0.0851063829787234,0.92,0.3700980392156863,0.13297872340425532,-100.0,-100.0,-100.0,1.2446808510638299,0.44272445820433437,0.25,-100.0,-100.0,-100.0,1.1818181818181819,0.6774193548387096,0.17553191489361702
Alfonzo McKinnie,CLE,27,79,215,40,593,-100.0,-100.0,34.0,31.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0,59.0,-100.0,-100.0,20.0,31.0,-100.0,-100.0,21.0,25.0,156.0,-100.0,-100.0,-100.0,0.9117647058823529,0.1319796954314721,0.21794871794871795,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.7283950617283951,0.125,0.5192307692307693,-100.0,-100.0,-100.0,1.55,0.9256965944272446,0.1282051282051282,-100.0,-100.0,-100.0,1.1904761904761905,0.6810035842293907,0.1346153846153846
Alize Johnson,IND,24,79,212,17,118,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Allen Crabbe,MIN,28,77,212,37,653,-100.0,-100.0,19.0,17.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0,83.0,34.0,32.0,-100.0,-100.0,18.0,11.0,-100.0,-100.0,153.0,-100.0,-100.0,-100.0,0.8947368421052632,0.11294416243654823,0.12418300653594772,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0121951219512195,0.5833333333333334,0.5359477124183006,0.9411764705882353,0.5748987854251012,0.2222222222222222,-100.0,-100.0,-100.0,0.6111111111111112,0.10046728971962617,0.11764705882352941,-100.0,-100.0,-100.0
Allonzo Trier,NYK,24,76,200,24,291,12.0,11.0,36.0,45.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,30.0,31.0,-100.0,-100.0,-100.0,-100.0,11.0,7.0,-100.0,-100.0,89.0,0.9166666666666666,0.6153846153846154,0.1348314606741573,1.25,0.7893401015228426,0.4044943820224719,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0333333333333334,0.6213235294117647,0.33707865168539325,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.6363636363636364,0.1191588785046729,0.12359550561797752,-100.0,-100.0,-100.0
Amile Jefferson,ORL,27,81,222,18,74,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Amir Coffey,LAC,23,79,210,18,159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Andre Drummond,CLE,26,82,279,57,1878,75.0,57.0,120.0,116.0,-100.0,-100.0,174.0,170.0,188.0,177.0,62.0,38.0,-100.0,-100.0,179.0,205.0,-100.0,-100.0,208.0,218.0,1006.0,0.76,0.2692307692307692,0.07455268389662027,0.9666666666666667,0.19543147208121828,0.11928429423459244,-100.0,-100.0,-100.0,0.9770114942528736,0.2682926829268293,0.17296222664015903,0.9414893617021277,0.5570469798657718,0.18687872763419483,0.6129032258064516,0.06862745098039216,0.061630218687872766,-100.0,-100.0,-100.0,1.1452513966480447,0.2755417956656347,0.1779324055666004,-100.0,-100.0,-100.0,1.0480769230769231,0.4265232974910394,0.20675944333996024
Andre Iguodala,MIA,36,78,215,21,418,-100.0,-100.0,25.0,15.0,0.3,0.2,-100.0,-100.0,-100.0,-100.0,40.0,32.0,-100.0,-100.0,12.0,17.0,-100.0,-100.0,-100.0,-100.0,77.3,-100.0,-100.0,-100.0,0.6,0.02030456852791878,0.3234152652005175,0.6666666666666667,0.12704918032786885,0.0038809831824062097,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.8,0.2034313725490196,0.517464424320828,-100.0,-100.0,-100.0,1.4166666666666667,0.7647058823529411,0.1552393272962484,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Andre Roberson,OKC,28,79,210,7,87,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13.0,11.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.8461538461538461,0.25,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Andrew Wiggins,GSW,25,79,197,54,1859,109.0,88.0,127.0,146.0,4.0,3.8,-100.0,-100.0,39.0,38.0,170.0,161.0,125.0,132.0,70.0,104.0,75.0,73.0,39.0,39.0,758.0,0.8073394495412844,0.3888888888888889,0.1437994722955145,1.1496062992125984,0.5913705583756346,0.16754617414248021,0.95,0.6680327868852459,0.005277044854881266,-100.0,-100.0,-100.0,0.9743589743589743,0.697986577181208,0.051451187335092345,0.9470588235294117,0.44607843137254904,0.22427440633245382,1.056,0.7732793522267206,0.16490765171503957,1.4857142857142858,0.8513931888544891,0.09234828496042216,0.9733333333333334,0.5700934579439252,0.09894459102902374,1.0,0.34050179211469533,0.051451187335092345
