Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,off-screen_poss,off-screen_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,off-screen_ppp,off-screen_percentile,off-screen_freq
Aaron Gordon,ORL,24,80,235,62,2017,48.0,34.0,3.7,2.4,34.0,49.0,35.0,29.0,218.0,213.0,47.0,38.0,60.0,64.0,445.7,0.7083333333333334,0.8460490463215259,0.1076957594794705,0.6486486486486486,0.9139344262295082,0.008301548126542518,1.4411764705882353,0.09285714285714286,0.07628449629795828,0.8285714285714286,0.6859756097560976,0.07852815795378057,0.9770642201834863,0.6197183098591549,0.4891182409692619,0.8085106382978723,0.7013651877133106,0.1054520978236482,1.0666666666666667,0.3540983606557377,0.13461969934933812
Aaron Holiday,IND,23,72,185,66,1617,28.0,32.0,1.5,1.1,16.0,12.0,31.0,24.0,199.0,194.0,54.0,54.0,44.0,43.0,373.5,1.1428571428571428,0.16621253405994552,0.0749665327978581,0.7333333333333334,0.7745901639344263,0.004016064257028112,0.75,0.8142857142857143,0.0428380187416332,0.7741935483870968,0.7591463414634146,0.08299866131191433,0.9748743718592965,0.6314553990610329,0.5327978580990629,1.0,0.3532423208191126,0.14457831325301204,0.9772727272727273,0.4819672131147541,0.11780455153949129
Abdel Nader,OKC,26,77,225,55,867,30.0,39.0,0.5,0.3,-100.0,-100.0,17.0,18.0,85.0,74.0,29.0,23.0,30.0,27.0,191.5,1.3,0.06130790190735695,0.1566579634464752,0.6,0.944672131147541,0.0026109660574412533,-100.0,-100.0,-100.0,1.0588235294117647,0.27896341463414637,0.08877284595300261,0.8705882352941177,0.8450704225352113,0.44386422976501305,0.7931034482758621,0.7133105802047781,0.1514360313315927,0.9,0.601639344262295,0.1566579634464752
Adam Mokoka,CHI,21,77,190,11,112,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,21.0,26.0,-100.0,-100.0,-100.0,-100.0,21.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.2380952380952381,0.08450704225352113,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Admiral Schofield,WAS,23,77,241,33,368,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,14.0,18.0,40.0,28.0,-100.0,-100.0,-100.0,-100.0,54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.2857142857142858,0.06402439024390244,0.25925925925925924,0.7,0.9683098591549296,0.7407407407407407,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al Horford,PHI,34,81,240,67,2026,76.0,65.0,-100.0,-100.0,45.0,41.0,56.0,53.0,161.0,152.0,14.0,25.0,23.0,19.0,375.0,0.8552631578947368,0.5980926430517711,0.20266666666666666,-100.0,-100.0,-100.0,0.9111111111111111,0.6535714285714286,0.12,0.9464285714285714,0.4634146341463415,0.14933333333333335,0.9440993788819876,0.6971830985915493,0.42933333333333334,1.7857142857142858,0.010238907849829351,0.037333333333333336,0.8260869565217391,0.7278688524590164,0.06133333333333333
Al-Farouq Aminu,ORL,29,80,220,18,380,11.0,4.0,-100.0,-100.0,11.0,19.0,-100.0,-100.0,53.0,49.0,10.0,14.0,-100.0,-100.0,85.0,0.36363636363636365,0.9945504087193461,0.12941176470588237,-100.0,-100.0,-100.0,1.7272727272727273,0.023214285714285715,0.12941176470588237,-100.0,-100.0,-100.0,0.9245283018867925,0.7464788732394366,0.6235294117647059,1.4,0.030716723549488054,0.11764705882352941,-100.0,-100.0,-100.0
Alec Burks,PHI,28,78,214,66,1754,37.0,37.0,4.3,4.1,-100.0,-100.0,15.0,12.0,143.0,147.0,37.0,41.0,36.0,20.0,272.3,1.0,0.35013623978201636,0.1358795446199045,0.9534883720930232,0.3319672131147541,0.01579140653690782,-100.0,-100.0,-100.0,0.8,0.7271341463414634,0.055086301872934264,1.027972027972028,0.4413145539906103,0.5251560778553066,1.1081081081081081,0.16382252559726962,0.1358795446199045,0.5555555555555556,0.940983606557377,0.13220712449504224
Alen Smailagic,GSW,19,82,215,14,139,11.0,16.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11.0,1.4545454545454546,0.01634877384196185,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alex Caruso,LAL,26,77,186,64,1175,58.0,43.0,1.6,1.1,13.0,20.0,26.0,14.0,137.0,165.0,48.0,33.0,32.0,32.0,315.6,0.7413793103448276,0.7901907356948229,0.18377693282636248,0.6875,0.8483606557377049,0.005069708491761723,1.5384615384615385,0.044642857142857144,0.041191381495564,0.5384615384615384,0.9710365853658537,0.082382762991128,1.2043795620437956,0.11971830985915492,0.43409378960709755,0.6875,0.8771331058020477,0.1520912547528517,1.0,0.44426229508196724,0.10139416983523447
