Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,off-screen_poss,off-screen_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,off-screen_ppp,off-screen_percentile,off-screen_freq
Aaron Brooks,MIN,33.0,72,161,32,189,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Aaron Gordon,ORL,22.0,81,220,58,1909,74.0,68.0,3.7,2.4,37.0,26.0,52.0,23.0,171.0,163.0,30.0,17.0,35.0,34.0,402.7,0.918918918918919,0.4325068870523416,0.18375962254780234,0.6486486486486486,0.9162011173184358,0.009187981127390117,0.7027027027027027,0.8939929328621908,0.09187981127390117,0.4423076923076923,0.9887005649717514,0.12912838341196922,0.9532163742690059,0.6805896805896806,0.4246337223739757,0.5666666666666667,0.9550173010380623,0.07449714427613609,0.9714285714285714,0.5617283950617284,0.08691333498882543
Aaron Harrison,DAL,23.0,78,210,9,233,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,17.0,6.0,13.0,13.0,10.0,13.0,40.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.35294117647058826,1.0,0.425,1.0,0.2889273356401384,0.325,1.3,0.08641975308641975,0.25
Aaron Jackson,HOU,32.0,75,183,1,35,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Abdel Nader,BOS,24.0,78,230,48,522,10.0,16.0,0.5,0.3,-100.0,-100.0,-100.0,-100.0,63.0,70.0,17.0,14.0,24.0,28.0,114.5,1.6,0.004132231404958678,0.08733624454148471,0.6,0.952513966480447,0.004366812227074236,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.1111111111111112,0.214987714987715,0.5502183406113537,0.8235294117647058,0.6591695501730104,0.14847161572052403,1.1666666666666667,0.2175925925925926,0.2096069868995633
Adreian Payne,ORL,27.0,82,237,5,43,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al Horford,BOS,32.0,82,245,72,2277,129.0,120.0,-100.0,-100.0,66.0,59.0,98.0,77.0,219.0,191.0,-100.0,-100.0,35.0,26.0,547.0,0.9302325581395349,0.4022038567493113,0.23583180987202926,-100.0,-100.0,-100.0,0.8939393939393939,0.6360424028268551,0.1206581352833638,0.7857142857142857,0.7641242937853108,0.17915904936014626,0.8721461187214612,0.855036855036855,0.40036563071297987,-100.0,-100.0,-100.0,0.7428571428571429,0.8580246913580247,0.06398537477148081
Al Jefferson,IND,33.0,82,280,36,484,13.0,6.0,-100.0,-100.0,14.0,12.0,32.0,36.0,19.0,30.0,-100.0,-100.0,-100.0,-100.0,78.0,0.46153846153846156,0.990358126721763,0.16666666666666666,-100.0,-100.0,-100.0,0.8571428571428571,0.7208480565371025,0.1794871794871795,1.125,0.10875706214689265,0.41025641025641024,1.5789473684210527,0.009828009828009828,0.24358974358974358,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al-Farouq Aminu,POR,27.0,81,220,69,2072,64.0,64.0,-100.0,-100.0,57.0,58.0,124.0,98.0,177.0,175.0,24.0,15.0,42.0,41.0,488.0,1.0,0.2768595041322314,0.13114754098360656,-100.0,-100.0,-100.0,1.0175438596491229,0.4098939929328622,0.1168032786885246,0.7903225806451613,0.748587570621469,0.2540983606557377,0.9887005649717514,0.5798525798525799,0.36270491803278687,0.625,0.9134948096885813,0.04918032786885246,0.9761904761904762,0.5432098765432098,0.0860655737704918
Alan Williams,PHX,25.0,80,265,5,70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
