Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,transition_poss,transition_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,cut_poss,cut_pts,off-screen_poss,off-screen_pts,putbacks_poss,putbacks_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,transition_ppp,transition_percentile,transition_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,cut_ppp,cut_percentile,cut_freq,off-screen_ppp,off-screen_percentile,off-screen_freq,putbacks_ppp,putbacks_percentile,putbacks_freq
Kyle O'Quinn,NYK,28.0,82,250,77,1387,31.0,24.0,35.0,48.0,-100.0,-100.0,139.0,168.0,37.0,32.0,54.0,38.0,-100.0,-100.0,91.0,121.0,-100.0,-100.0,71.0,96.0,458.0,0.7741935483870968,0.3264150943396226,0.06768558951965066,1.3714285714285714,0.9269521410579346,0.07641921397379912,-100.0,-100.0,-100.0,1.20863309352518,0.7833333333333333,0.3034934497816594,0.8648648648648649,0.49171270718232046,0.08078602620087336,0.7037037037037037,0.10625,0.11790393013100436,-100.0,-100.0,-100.0,1.3296703296703296,0.6811145510835913,0.19868995633187772,-100.0,-100.0,-100.0,1.352112676056338,0.9144981412639405,0.15502183406113537
Kyle Singler,OKC,30.0,80,228,12,59,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Kyrie Irving,BOS,26.0,75,193,60,1931,212.0,220.0,182.0,176.0,7.7,7.9,-100.0,-100.0,32.0,24.0,112.0,138.0,146.0,167.0,44.0,70.0,126.0,145.0,13.0,16.0,874.7,1.0377358490566038,0.8566037735849057,0.24236881216417056,0.967032967032967,0.23929471032745592,0.20807133874471245,1.025974025974026,0.8603351955307262,0.008803018177660911,-100.0,-100.0,-100.0,0.75,0.23204419889502761,0.03658397164742197,1.2321428571428572,0.94,0.1280439007659769,1.143835616438356,0.889795918367347,0.16691437064136275,1.5909090909090908,0.9752321981424149,0.05030296101520521,1.1507936507936507,0.8177966101694916,0.144049388361724,1.2307692307692308,0.7565055762081785,0.014862238481765176
LaMarcus Aldridge,SAS,32.0,83,260,75,2509,50.0,36.0,53.0,72.0,-100.0,-100.0,269.0,290.0,704.0,697.0,151.0,152.0,-100.0,-100.0,119.0,154.0,37.0,30.0,167.0,230.0,1550.0,0.72,0.23773584905660378,0.03225806451612903,1.3584905660377358,0.9168765743073047,0.034193548387096775,-100.0,-100.0,-100.0,1.0780669144981412,0.5444444444444444,0.1735483870967742,0.9900568181818182,0.8066298342541437,0.4541935483870968,1.0066225165562914,0.5475,0.09741935483870967,-100.0,-100.0,-100.0,1.2941176470588236,0.5835913312693498,0.07677419354838709,0.8108108108108109,0.23516949152542374,0.023870967741935485,1.377245508982036,0.9330855018587361,0.10774193548387097
Lance Stephenson,IND,27.0,78,230,82,1850,124.0,100.0,138.0,135.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,185.0,183.0,30.0,26.0,14.0,20.0,15.0,5.0,34.0,39.0,540.0,0.8064516129032258,0.3849056603773585,0.22962962962962963,0.9782608695652174,0.25692695214105793,0.25555555555555554,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.9891891891891892,0.495,0.3425925925925926,0.8666666666666667,0.463265306122449,0.05555555555555555,1.4285714285714286,0.8390092879256966,0.025925925925925925,0.3333333333333333,0.014830508474576272,0.027777777777777776,1.1470588235294117,0.5910780669144982,0.06296296296296296
Lance Thomas,NYK,30.0,80,235,73,1353,11.0,2.0,41.0,48.0,-100.0,-100.0,18.0,18.0,-100.0,-100.0,148.0,152.0,-100.0,-100.0,32.0,30.0,-100.0,-100.0,28.0,16.0,278.0,0.18181818181818182,0.009433962264150943,0.039568345323741004,1.170731707317073,0.6347607052896725,0.1474820143884892,-100.0,-100.0,-100.0,1.0,0.31666666666666665,0.06474820143884892,-100.0,-100.0,-100.0,1.027027027027027,0.6075,0.5323741007194245,-100.0,-100.0,-100.0,0.9375,0.06656346749226007,0.11510791366906475,-100.0,-100.0,-100.0,0.5714285714285714,0.01486988847583643,0.10071942446043165
Langston Galloway,DET,26.0,74,200,58,863,-100.0,-100.0,46.0,41.0,0.4,0.2,-100.0,-100.0,-100.0,-100.0,92.0,98.0,70.0,77.0,-100.0,-100.0,79.0,72.0,-100.0,-100.0,287.4,-100.0,-100.0,-100.0,0.8913043478260869,0.1561712846347607,0.16005567153792624,0.5,0.0335195530726257,0.0013917884481558806,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.065217391304348,0.6975,0.3201113430758525,1.1,0.8571428571428571,0.2435629784272791,-100.0,-100.0,-100.0,0.9113924050632911,0.3940677966101695,0.27487821851078637,-100.0,-100.0,-100.0
Larry Drew II,NOP,28.0,74,180,10,70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Larry Nance Jr.,CLE,25.0,81,230,66,1421,-100.0,-100.0,74.0,103.0,-100.0,-100.0,93.0,106.0,24.0,21.0,54.0,40.0,-100.0,-100.0,124.0,151.0,-100.0,-100.0,84.0,96.0,453.0,-100.0,-100.0,-100.0,1.3918918918918919,0.947103274559194,0.16335540838852097,-100.0,-100.0,-100.0,1.1397849462365592,0.65,0.2052980132450331,0.875,0.511049723756906,0.052980132450331126,0.7407407407407407,0.1325,0.11920529801324503,-100.0,-100.0,-100.0,1.217741935483871,0.3993808049535604,0.2737306843267108,-100.0,-100.0,-100.0,1.1428571428571428,0.587360594795539,0.18543046357615894
Lauri Markkanen,CHI,21.0,84,230,68,2020,28.0,21.0,133.0,165.0,0.3,0.3,119.0,129.0,111.0,90.0,280.0,272.0,42.0,40.0,44.0,58.0,106.0,109.0,52.0,59.0,915.3,0.75,0.29245283018867924,0.030591063039440623,1.2406015037593985,0.7581863979848866,0.14530754943734295,1.0,0.7905027932960894,0.00032776138970829236,1.084033613445378,0.5611111111111111,0.13001201791762265,0.8108108108108109,0.35911602209944754,0.12127171419206818,0.9714285714285714,0.4575,0.30591063039440625,0.9523809523809523,0.6122448979591837,0.045886594559160936,1.3181818181818181,0.6486068111455109,0.04807167049054955,1.028301886792453,0.6101694915254238,0.11580902436359664,1.1346153846153846,0.5687732342007435,0.05681197421610401
